"artist","title","year","label","genre","source"
"Petra*","Жената Паяк","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Илиян","Дзаг Дзаг","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Безразлични","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Формация Фаворит","Ела, Ела","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) ft. Яница","Роклята Ти Пада","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Рога За Спомен","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Hit Bikini 2014","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ваня (6) и DJ Дамян","Искам Си Теб","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ваня (6) и Анелия","За Патрона","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ави Бенеди*, Мария и Гъмзата","Истинска Жена","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Love Ballads 3","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Златните Хитове На Пайнер 14 Мария","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена","Златните Хитове На Пайнер 21 Джена","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","TheBoss","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия и Илиян","Сърцето Ще Плати","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ваня (6)","Дубай","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Деси Слава* и Джордан","Дали Ще Те Оставя","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Есен 2014","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Пада Звезда","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) и Емануела*","5, 6, 7, 8","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Jenna*","The Best Selection","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Само На Думи","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Пази Се От Приятелки","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Цветелина Янева","Честито","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Валентин Валдес","Балканска Душа","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Етикет Единствена","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Уикенд","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Есен 2016","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джордан","Не Те Боли","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","На 2 Секунди","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Мило Ми Е, Драго Ми Е","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","10 Години Любов... И Пак Любов","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емилия ft. Емануела*","Все Едно Ми Е","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Майко, Една Си На Света 2","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Тук Ли Си","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Love Ballads 5","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Малко Коте","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Живот Като На Кино","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ваня (6) ft. Азис","Маймуно Мръсна","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Есен/Зима 2017","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Деси Слава*","Гледай Да Не Бъркаш","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Зоопарк","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Червеният Картон","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емилия и Тони Стораро","Как Да Изтрезнея","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Summer Hits '16","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Мъжко Момиче","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Пайнер Хит Сезони - Есен 2012","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Бяла Калина","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) ft. Азис","На Египет Фараона","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","В Инстаграм Съм Ти Любима","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Summer Hits 2013","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия и Кириакос Георгиу*","Пос Тин Идес","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Обичай Ме Такава","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
